RANK,NAME,REVENUES ($M),REVENUE PERCENT CHANGE,PROFITS ($M),PROFITS PERCENT CHANGE,ASSETS ($M),"MARKET VALUE — AS OF MARCH 29, 2019 ($M)",CHANGE IN RANK (FULL 1000),EMPLOYEES,CHANGE IN RANK (500 ONLY),URL_FORBES,URL_COMPANY,SEARCH_URL,URL_COMPANY_SUFFIX,URL_LEADERSHIP,URL_LEADERSHIP_ROOT,URL_DOMAIN
54,Sysco,"$58,727.3",6.1%,"$1,430.8",25.2%,"$18,070.4","$34,278.8",-,"67,000",-,https://fortune.com/fortune500/2019/sysco,http://www.sysco.com,https://www.google.com/search?q=Sysco+corporate+leadership+page,sysco.com,https://www.sysco.com/About/Our-People/Our-Management.html,https://www.sysco.com,.com
55,HP,"$58,472.0",12.3%,"$5,327.0",110.9%,"$34,622.0","$29,795.9",3,"55,000",3,https://fortune.com/fortune500/2019/hp,http://www.hp.com,https://www.google.com/search?q=HP+corporate+leadership+page,hp.com,https://www8.hp.com/us/en/hp-information/executive-team/team.html,https://www8.hp.com,.com
56,Humana,"$56,912.0",5.8%,"$1,683.0",-31.3%,"$25,413.0","$36,079.6",-,"41,600",-,https://fortune.com/fortune500/2019/humana,http://www.humana.com,https://www.google.com/search?q=Humana+corporate+leadership+page,humana.com,https://www.humana.com/about/,https://www.humana.com,.com
57,Facebook,"$55,838.0",37.4%,"$22,112.0",38.8%,"$97,334.0","$475,731.6",19,"35,587",19,https://fortune.com/fortune500/2019/facebook,http://www.facebook.com,https://www.google.com/search?q=Facebook+corporate+leadership+page,facebook.com,,,.com
58,Caterpillar,"$54,722.0",20.4%,"$6,147.0",715.3%,"$78,509.0","$77,980.3",7,"104,000",7,https://fortune.com/fortune500/2019/caterpillar,http://www.caterpillar.com,https://www.google.com/search?q=Caterpillar+corporate+leadership+page,caterpillar.com,https://www.caterpillar.com/en/company/governance/officers.html,https://www.caterpillar.com,.com
59,Energy Transfer,"$54,436.0",14.6%,"$1,694.0",77.6%,"$88,246.0","$40,260.0",5,"11,768",5,https://fortune.com/fortune500/2019/energy-transfer,http://www.energytransfer.com,https://www.google.com/search?q=Energy Transfer+corporate+leadership+page,energytransfer.com,https://www.energytransfer.com/leadership/,https://www.energytransfer.com,.com
60,Lockheed Martin,"$53,762.0",5.3%,"$5,046.0",152.0%,"$44,876.0","$84,887.6",-1,"105,000",-1,https://fortune.com/fortune500/2019/lockheed-martin,http://www.lockheedmartin.com,https://www.google.com/search?q=Lockheed Martin+corporate+leadership+page,lockheedmartin.com,https://www.lockheedmartin.com/en-us/who-we-are/leadership-governance.html,https://www.lockheedmartin.com,.com
61,Pfizer,"$53,647.0",2.1%,"$11,153.0",-47.7%,"$159,422.0","$235,785.1",-4,"92,400",-4,https://fortune.com/fortune500/2019/pfizer,http://www.pfizer.com,https://www.google.com/search?q=Pfizer+corporate+leadership+page,pfizer.com,https://www.pfizer.com/people/leadership/executives,https://www.pfizer.com,.com
62,Goldman Sachs Group,"$52,528.0",24.3%,"$10,459.0",144.0%,"$931,796.0","$70,414.9",8,"36,600",8,https://fortune.com/fortune500/2019/goldman-sachs-group,http://www.goldmansachs.com,https://www.google.com/search?q=Goldman Sachs Group+corporate+leadership+page,goldmansachs.com,http://www.goldmansachs.com/our-firm/leadership/executive-officers/,http://www.goldmansachs.com,.com
63,Morgan Stanley,"$50,193.0",15.0%,"$8,748.0",43.2%,"$853,531.0","$72,110.8",4,"60,348",4,https://fortune.com/fortune500/2019/morgan-stanley,http://www.morganstanley.com,https://www.google.com/search?q=Morgan Stanley+corporate+leadership+page,morganstanley.com,https://www.morganstanley.com/about-us-governance/board,https://www.morganstanley.com,.com
64,Cisco Systems,"$49,330.0",2.8%,$110.0,-98.9%,"$108,784.0","$237,665.5",-2,"74,200",-2,https://fortune.com/fortune500/2019/cisco-systems,http://www.cisco.com,https://www.google.com/search?q=Cisco Systems+corporate+leadership+page,cisco.com,https://newsroom.cisco.com/exec-bios,https://newsroom.cisco.com,.com
65,Cigna,"$48,650.0",16.9%,"$2,637.0",17.9%,"$153,226.0","$61,058.9",8,"73,800",8,https://fortune.com/fortune500/2019/cigna,http://www.cigna.com,https://www.google.com/search?q=Cigna+corporate+leadership+page,cigna.com,https://www.cigna.com/about-us/leadership-team/,https://www.cigna.com,.com
66,AIG,"$47,389.0",-4.3%,$-6.0,-,"$491,984.0","$37,440.1",-6,"49,600",-6,https://fortune.com/fortune500/2019/aig,http://www.aig.com,https://www.google.com/search?q=AIG+corporate+leadership+page,aig.com,https://www.aig.com/about-us/corporategovernance,https://www.aig.com,.com
67,HCA Healthcare,"$46,677.0",-2.0%,"$3,787.0",70.9%,"$39,207.0","$44,787.0",-4,"229,000",-4,https://fortune.com/fortune500/2019/hca-healthcare,http://www.hcahealthcare.com,https://www.google.com/search?q=HCA Healthcare+corporate+leadership+page,hcahealthcare.com,https://investor.hcahealthcare.com/corporate_governance/executive_officers,https://investor.hcahealthcare.com,.com
68,American Airlines Group,"$44,541.0",5.5%,"$1,412.0",-26.4%,"$60,580.0","$14,262.0",3,"128,900",3,https://fortune.com/fortune500/2019/american-airlines-group,http://www.aa.com,https://www.google.com/search?q=American Airlines Group+corporate+leadership+page,aa.com,https://www.aa.com/i18n/customer-service/about-us/corporate-structure.jsp,https://www.aa.com,.com
69,Delta Air Lines,"$44,438.0",7.7%,"$3,935.0",10.0%,"$60,266.0","$35,067.8",6,"88,680",6,https://fortune.com/fortune500/2019/delta-air-lines,http://www.delta.com,https://www.google.com/search?q=Delta Air Lines+corporate+leadership+page,delta.com,https://news.delta.com/tags/leader-bios,https://news.delta.com,.com
70,Charter Communications,"$43,634.0",4.9%,"$1,230.0",-87.6%,"$146,130.0","$85,923.4",4,"98,000",4,https://fortune.com/fortune500/2019/charter-communications,http://www.charter.com,https://www.google.com/search?q=Charter Communications+corporate+leadership+page,charter.com,https://newsroom.charter.com/leadership/,https://newsroom.charter.com,.com
71,New York Life Insurance,"$43,425.3",2.7%,$880.0,-52.9%,"$311,449.3",-,-2,"11,388",-2,https://fortune.com/fortune500/2019/new-york-life-insurance,http://www.newyorklife.com,https://www.google.com/search?q=New York Life Insurance+corporate+leadership+page,newyorklife.com,https://www.newyorklife.com/newsroom/executive-biographies,https://www.newyorklife.com,.com
72,American Express,"$43,281.0",21.6%,"$6,921.0",153.0%,"$188,602.0","$91,675.1",14,"59,000",14,https://fortune.com/fortune500/2019/american-express,http://www.americanexpress.com,https://www.google.com/search?q=American Express+corporate+leadership+page,americanexpress.com,https://ir.americanexpress.com/Executive-Committee-and-Directors,https://ir.americanexpress.com,.com
73,Nationwide,"$43,270.0",-1.5%,$512.6,107.9%,"$214,141.9",-,-7,"30,472",-7,https://fortune.com/fortune500/2019/nationwide,http://www.nationwide.com,https://www.google.com/search?q=Nationwide+corporate+leadership+page,nationwide.com,https://www.nationwide.com/personal/about-us/executives/,https://www.nationwide.com,.com
